id,name,flag
1,Afghanistan,🇦🇫
2,Aland Islands,🇦🇽
3,Albania,🇦🇱
4,Algeria,🇩🇿
5,American Samoa,🇦🇸
6,Andorra,🇦🇩
7,Angola,🇦🇴
8,Anguilla,🇦🇮
9,Antarctica,🇦🇶
10,Antigua And Barbuda,🇦🇬
11,Argentina,🇦🇷
12,Armenia,🇦🇲
13,Aruba,🇦🇼
14,Australia,🇦🇺
15,Austria,🇦🇹
16,Azerbaijan,🇦🇿
18,Bahrain,🇧🇭
19,Bangladesh,🇧🇩
20,Barbados,🇧🇧
21,Belarus,🇧🇾
22,Belgium,🇧🇪
23,Belize,🇧🇿
24,Benin,🇧🇯
25,Bermuda,🇧🇲
26,Bhutan,🇧🇹
27,Bolivia,🇧🇴
155,"Bonaire, Sint Eustatius and Saba",🇧🇶
28,Bosnia and Herzegovina,🇧🇦
29,Botswana,🇧🇼
30,Bouvet Island,🇧🇻
31,Brazil,🇧🇷
32,British Indian Ocean Territory,🇮🇴
33,Brunei,🇧🇳
34,Bulgaria,🇧🇬
35,Burkina Faso,🇧🇫
36,Burundi,🇧🇮
37,Cambodia,🇰🇭
38,Cameroon,🇨🇲
39,Canada,🇨🇦
40,Cape Verde,🇨🇻
41,Cayman Islands,🇰🇾
42,Central African Republic,🇨🇫
43,Chad,🇹🇩
44,Chile,🇨🇱
45,China,🇨🇳
46,Christmas Island,🇨🇽
47,Cocos (Keeling) Islands,🇨🇨
48,Colombia,🇨🇴
49,Comoros,🇰🇲
50,Congo,🇨🇬
52,Cook Islands,🇨🇰
53,Costa Rica,🇨🇷
54,Cote D'Ivoire (Ivory Coast),🇨🇮
55,Croatia,🇭🇷
56,Cuba,🇨🇺
249,Curaçao,🇨🇼
57,Cyprus,🇨🇾
58,Czech Republic,🇨🇿
51,Democratic Republic of the Congo,🇨🇩
59,Denmark,🇩🇰
60,Djibouti,🇩🇯
61,Dominica,🇩🇲
62,Dominican Republic,🇩🇴
63,East Timor,🇹🇱
64,Ecuador,🇪🇨
65,Egypt,🇪🇬
66,El Salvador,🇸🇻
67,Equatorial Guinea,🇬🇶
68,Eritrea,🇪🇷
69,Estonia,🇪🇪
70,Ethiopia,🇪🇹
71,Falkland Islands,🇫🇰
72,Faroe Islands,🇫🇴
73,Fiji Islands,🇫🇯
74,Finland,🇫🇮
75,France,🇫🇷
76,French Guiana,🇬🇫
77,French Polynesia,🇵🇫
78,French Southern Territories,🇹🇫
79,Gabon,🇬🇦
80,Gambia The,🇬🇲
81,Georgia,🇬🇪
82,Germany,🇩🇪
83,Ghana,🇬🇭
84,Gibraltar,🇬🇮
85,Greece,🇬🇷
86,Greenland,🇬🇱
87,Grenada,🇬🇩
88,Guadeloupe,🇬🇵
89,Guam,🇬🇺
90,Guatemala,🇬🇹
91,Guernsey and Alderney,🇬🇬
92,Guinea,🇬🇳
93,Guinea-Bissau,🇬🇼
94,Guyana,🇬🇾
95,Haiti,🇭🇹
96,Heard Island and McDonald Islands,🇭🇲
97,Honduras,🇭🇳
98,Hong Kong S.A.R.,🇭🇰
99,Hungary,🇭🇺
100,Iceland,🇮🇸
101,India,🇮🇳
102,Indonesia,🇮🇩
103,Iran,🇮🇷
104,Iraq,🇮🇶
105,Ireland,🇮🇪
106,Israel,🇮🇱
107,Italy,🇮🇹
108,Jamaica,🇯🇲
109,Japan,🇯🇵
110,Jersey,🇯🇪
111,Jordan,🇯🇴
112,Kazakhstan,🇰🇿
113,Kenya,🇰🇪
114,Kiribati,🇰🇮
248,Kosovo,🇽🇰
117,Kuwait,🇰🇼
118,Kyrgyzstan,🇰🇬
119,Laos,🇱🇦
120,Latvia,🇱🇻
121,Lebanon,🇱🇧
122,Lesotho,🇱🇸
123,Liberia,🇱🇷
124,Libya,🇱🇾
125,Liechtenstein,🇱🇮
126,Lithuania,🇱🇹
127,Luxembourg,🇱🇺
128,Macau S.A.R.,🇲🇴
130,Madagascar,🇲🇬
131,Malawi,🇲🇼
132,Malaysia,🇲🇾
133,Maldives,🇲🇻
134,Mali,🇲🇱
135,Malta,🇲🇹
136,Man (Isle of),🇮🇲
137,Marshall Islands,🇲🇭
138,Martinique,🇲🇶
139,Mauritania,🇲🇷
140,Mauritius,🇲🇺
141,Mayotte,🇾🇹
142,Mexico,🇲🇽
143,Micronesia,🇫🇲
144,Moldova,🇲🇩
145,Monaco,🇲🇨
146,Mongolia,🇲🇳
147,Montenegro,🇲🇪
148,Montserrat,🇲🇸
149,Morocco,🇲🇦
150,Mozambique,🇲🇿
151,Myanmar,🇲🇲
152,Namibia,🇳🇦
153,Nauru,🇳🇷
154,Nepal,🇳🇵
156,Netherlands,🇳🇱
157,New Caledonia,🇳🇨
158,New Zealand,🇳🇿
159,Nicaragua,🇳🇮
160,Niger,🇳🇪
161,Nigeria,🇳🇬
162,Niue,🇳🇺
163,Norfolk Island,🇳🇫
115,North Korea,🇰🇵
129,North Macedonia,🇲🇰
164,Northern Mariana Islands,🇲🇵
165,Norway,🇳🇴
166,Oman,🇴🇲
167,Pakistan,🇵🇰
168,Palau,🇵🇼
